Timestamp,Orientation (x),Orientation (y),Orientation (z),Orientation (w),Angular Velocity (x),Angular Velocity (y),Angular Velocity (z),Linear Acceleration (x),Linear Acceleration (y),Linear Acceleration (z)
1705722447.6529562,-0.0012420766858927668,-0.0013931303797912185,-0.9999972426429959,-0.001425180569654294,0.0018416896928101778,0.0007246314780786632,-0.0006057757418602706,0.0,1.1241062850755454e-15,9.1790244
1705722447.9029877,-0.0034226480760432324,-0.002600413341409508,-0.9999897712498084,-0.00140738280413949,0.030688730999827385,-0.05130840837955475,-0.000426015583798283,0.0,1.1120966025426871e-15,9.0809579
1705722448.1520102,-0.01406778098539539,-0.008848646170441241,-0.9998609262600238,-0.001388213796437666,0.05643821880221367,-0.09866652637720108,-0.0004673656076192735,0.0,1.142120808874833e-15,9.32612415
1705722448.402051,-0.02537461103261565,-0.015474620728918656,-0.9995572783635065,-0.001382931227258079,0.0492323599755764,-0.08541160076856613,-0.000572675839066495,0.0,1.188958570752981e-15,9.7085835
1705722448.6530683,-0.03575854610248688,-0.021663802900645734,-0.9991246141245081,-0.0014182648098647354,0.04732606187462807,-0.08182606846094131,-0.0005759355844929715,0.0196133,0.009806650000001213,9.9047165
1705722448.9031048,-0.04619838562611829,-0.027843611161104304,-0.9985431322675536,-0.00143369604611793,0.054993949830532074,-0.09161590784788132,-0.0008360415231436379,0.0588399,0.029419950000001218,9.9635564
1705722449.153135,-0.05729160632380554,-0.03491921544286042,-0.9977047438867114,-0.00914134911514958,0.055962033569812775,-0.0949293449521065,-0.18264298141002655,0.10787315,0.05883990000000122,9.9635564
1705722449.4031658,-0.06684988189505968,-0.04537486368052916,-0.9946899615396938,-0.06375025842106274,0.06285965442657471,-0.09120645374059685,-0.6703828573226929,0.1569064,0.09806650000000122,9.9439431
1705722449.653193,-0.07255292980004804,-0.062039838868164006,-0.9794623595608329,-0.17759678199271373,0.09303773194551468,-0.08142282813787474,-1.1229718923568726,0.2157463,0.15690640000000122,9.9243298
1705722449.9032362,-0.07209059597846991,-0.08542849857841149,-0.9358773405229679,-0.3341235117404402,0.12989532947540283,-0.05227932333946246,-1.4524785280227661,0.2353596,0.2843928500000012,9.93413645
1705722450.1532552,-0.06297330293528092,-0.11357421008016708,-0.8514723225388059,-0.5080651000339024,0.15473681688308716,-0.002303420333191953,-1.6354467868804932,0.16671305,0.4805258500000012,9.9439431
1705722450.4022925,-0.04525808752532314,-0.14211877204071738,-0.7267929159221433,-0.6704670144851103,0.1473078727722168,0.051437336951494016,-1.6456393003463745,0.0,0.6864655000000013,9.9635564
1705722450.6533196,-0.019084321869250666,-0.16305697571491323,-0.5814049430274649,-0.7968792277081433,0.0555994026362896,0.06717209517955762,-1.4578684568405151,-0.30400615,0.7747253500000013,10.002783
